0.866438 0.507618 0,1,2,3,4 2,3,2,5,4
0.866438 0.507618 0,1,2,3,4 2,6,5,2,1
0.866438 0.507618 0,1,2,3,4 2,3,2,5,4
0.866438 0.507618 0,1,2,3,4 4,6,3,2,1
0.866438 0.507618 0,1,2,3,4 4,5,2,3,2
0.866438 0.507618 0,1,2,3,4 2,3,5,5,1
0.866438 0.507618 0,1,2,3,4 2,3,5,5,1
0.866438 0.507618 0,1,2,3,4 4,5,3,3,1
0.866438 0.507618 0,1,2,3,4 4,6,3,2,1
0.866438 0.507618 0,1,2,3,4 1,3,3,5,4
0.866438 0.507618 0,1,2,3,4 1,3,3,5,4
0.866438 0.507618 0,1,2,3,4 2,3,2,5,4
0.866438 0.507618 0,1,2,3,4 1,2,3,6,4
0.866438 0.507618 0,1,2,3,4 1,5,6,3,1
0.866438 0.507618 0,1,2,3,4 1,5,5,3,2
0.866438 0.507618 0,1,2,3,4 4,5,3,3,1
0.866438 0.507618 0,1,2,3,4 4,5,3,3,1
0.866438 0.507618 0,1,2,3,4 1,5,6,3,1
0.866438 0.507618 0,1,2,3,4 1,3,6,5,1
0.866438 0.507618 0,1,2,3,4 1,2,5,6,2
0.866438 0.507618 0,1,2,3,4 4,6,3,2,1
0.866438 0.507618 0,1,2,3,4 2,6,5,2,1
0.866438 0.507618 0,1,2,3,4 1,2,3,6,4
0.866438 0.507618 0,1,2,3,4 1,5,5,3,2
0.866438 0.507618 0,1,2,3,4 1,2,3,6,4
0.866438 0.507618 0,1,2,3,4 1,2,3,6,4
0.866438 0.507618 0,1,2,3,4 1,2,5,6,2
0.866438 0.507618 0,1,2,3,4 1,3,6,5,1
0.866438 0.507618 0,1,2,3,4 1,3,3,5,4
0.866438 0.507618 0,1,2,3,4 4,5,2,3,2
0.866438 0.507618 0,1,2,3,4 1,5,5,3,2
0.866438 0.507618 0,1,2,3,4 1,5,5,3,2
0.866438 0.507618 0,1,2,3,4 4,5,2,3,2
0.866438 0.507618 0,1,2,3,4 1,2,5,6,2
0.866438 0.507618 0,1,2,3,4 1,2,5,6,2
0.866438 0.507618 0,1,2,3,4 2,3,2,5,4
0.888651 0.501889 0,2,3,4 2,6,6,2
0.888651 0.501889 0,2,3,4 2,4,6,4
0.888651 0.501889 0,2,3,4 2,6,6,2
0.888651 0.501889 0,2,3,4 2,4,6,4
0.900953 0.500175 0,3,4 4,6,2
0.881912 0.498476 0,1,2,3,4 2,4,4,4,2
0.881912 0.498476 0,1,2,3,4 2,4,4,4,2
0.881912 0.498476 0,1,2,3,4 2,4,4,4,2
0.881912 0.498476 0,1,2,3,4 2,4,4,4,2
0.881912 0.498476 0,1,2,3,4 2,4,4,4,2
0.896965 0.49178 0,1,3,4 2,6,6,2
0.896965 0.49178 0,1,3,4 2,6,6,2
0.897374 0.490327 0,1,3,4 4,6,6,4
0.897374 0.490327 0,1,3,4 4,6,6,4
0.884676 0.489557 0,1,2,4 2,3,5,4
0.884676 0.489557 0,1,2,4 2,3,5,4
0.884676 0.489557 0,1,2,4 1,3,6,4
0.884676 0.489557 0,1,2,4 1,3,6,4
0.884676 0.481351 0,2,3,4 4,5,3,2
0.884676 0.481351 0,2,3,4 4,6,3,1
0.884676 0.481351 0,2,3,4 4,5,3,2
0.884676 0.481351 0,2,3,4 4,6,3,1
0.878375 0.476664 0,1,2,3,4 2,6,6,3,1
0.878375 0.476664 0,1,2,3,4 2,4,6,5,1
0.878375 0.476664 0,1,2,3,4 2,3,5,6,2
0.878375 0.476664 0,1,2,3,4 1,3,6,6,2
0.878375 0.476664 0,1,2,3,4 4,6,4,3,1
0.878375 0.476664 0,1,2,3,4 4,6,3,3,2
0.878375 0.476664 0,1,2,3,4 2,6,6,3,1
0.878375 0.476664 0,1,2,3,4 2,6,5,3,2
0.878375 0.476664 0,1,2,3,4 4,6,3,3,2
0.878375 0.476664 0,1,2,3,4 1,3,4,6,4
0.878375 0.476664 0,1,2,3,4 4,6,4,3,1
0.878375 0.476664 0,1,2,3,4 2,6,5,3,2
0.878375 0.476664 0,1,2,3,4 1,3,6,6,2
0.878375 0.476664 0,1,2,3,4 2,6,6,3,1
0.878375 0.476664 0,1,2,3,4 4,5,3,4,2
0.878375 0.476664 0,1,2,3,4 2,3,3,6,4
0.878375 0.476664 0,1,2,3,4 2,3,5,6,2
0.878375 0.476664 0,1,2,3,4 2,3,5,6,2
0.878375 0.476664 0,1,2,3,4 1,5,6,4,2
0.878375 0.476664 0,1,2,3,4 1,3,4,6,4
0.878375 0.476664 0,1,2,3,4 1,5,6,4,2
0.878375 0.476664 0,1,2,3,4 2,4,3,5,4
0.878375 0.476664 0,1,2,3,4 1,3,6,6,2
0.878375 0.476664 0,1,2,3,4 1,3,4,6,4
0.878375 0.476664 0,1,2,3,4 2,3,3,6,4
0.878375 0.476664 0,1,2,3,4 2,6,5,3,2
0.878375 0.476664 0,1,2,3,4 2,4,6,5,1
0.878375 0.476664 0,1,2,3,4 4,6,4,3,1
0.878375 0.476664 0,1,2,3,4 2,3,3,6,4
0.878375 0.476664 0,1,2,3,4 2,4,3,5,4
0.878375 0.476664 0,1,2,3,4 2,4,6,5,1
0.878375 0.476664 0,1,2,3,4 4,6,3,3,2
0.878375 0.476664 0,1,2,3,4 4,6,3,3,2
0.878375 0.476664 0,1,2,3,4 4,5,3,4,2
0.878375 0.476664 0,1,2,3,4 4,6,4,3,1
0.878375 0.476664 0,1,2,3,4 4,6,4,3,1
0.878375 0.476664 0,1,2,3,4 1,3,4,6,4
0.878375 0.476664 0,1,2,3,4 2,3,5,6,2
0.878375 0.476664 0,1,2,3,4 2,4,6,5,1
0.878375 0.476664 0,1,2,3,4 2,6,5,3,2
0.878375 0.476664 0,1,2,3,4 1,3,4,6,4
0.878375 0.476664 0,1,2,3,4 1,3,6,6,2
0.878375 0.476664 0,1,2,3,4 2,6,6,3,1
0.878375 0.476664 0,1,2,3,4 2,6,5,3,2
0.878375 0.476664 0,1,2,3,4 2,6,6,3,1
0.878375 0.476664 0,1,2,3,4 1,3,6,6,2
0.878375 0.476664 0,1,2,3,4 1,5,6,4,2
0.878375 0.476664 0,1,2,3,4 2,3,5,6,2
0.878375 0.476664 0,1,2,3,4 2,3,3,6,4
0.878375 0.476664 0,1,2,3,4 4,5,3,4,2
0.878375 0.476664 0,1,2,3,4 2,4,3,5,4
0.878375 0.476664 0,1,2,3,4 1,5,6,4,2
0.878375 0.476664 0,1,2,3,4 4,6,3,3,2
0.878375 0.476664 0,1,2,3,4 4,5,3,4,2
0.878375 0.476664 0,1,2,3,4 2,4,6,5,1
0.878375 0.476664 0,1,2,3,4 2,4,3,5,4
0.878375 0.476664 0,1,2,3,4 1,5,6,4,2
0.878375 0.476664 0,1,2,3,4 4,5,3,4,2
0.878375 0.476664 0,1,2,3,4 2,4,3,5,4
0.878375 0.476664 0,1,2,3,4 2,3,3,6,4
0.893344 0.470262 0,1,3,4 4,8,5,1
0.893344 0.470262 0,1,3,4 1,5,8,4
0.893344 0.470262 0,1,3,4 1,5,8,4
0.893344 0.470262 0,1,3,4 4,8,5,1
0.896965 0.459705 0,1,2,4 2,4,6,4
0.896965 0.459705 0,1,2,4 2,4,6,4
0.897374 0.458346 0,1,2,4 4,8,6,2
0.897374 0.458346 0,1,2,4 4,8,6,2
0.909843 0.456781 0,1,4 4,8,4
0.874857 0.455807 0,1,2,3,4 1,2,5,8,4
0.874857 0.455807 0,1,2,3,4 4,5,5,5,1
0.874857 0.455807 0,1,2,3,4 1,5,8,5,1
0.874857 0.455807 0,1,2,3,4 4,5,5,5,1
0.874857 0.455807 0,1,2,3,4 1,5,5,5,4
0.874857 0.455807 0,1,2,3,4 1,5,5,5,4
0.874857 0.455807 0,1,2,3,4 4,8,5,2,1
0.874857 0.455807 0,1,2,3,4 1,5,5,5,4
0.874857 0.455807 0,1,2,3,4 4,5,2,5,4
0.874857 0.455807 0,1,2,3,4 4,5,2,5,4
0.874857 0.455807 0,1,2,3,4 1,5,8,5,1
0.874857 0.455807 0,1,2,3,4 4,8,5,2,1
0.874857 0.455807 0,1,2,3,4 1,2,5,8,4
0.874857 0.455807 0,1,2,3,4 1,5,8,5,1
0.874857 0.455807 0,1,2,3,4 4,5,2,5,4
0.874857 0.455807 0,1,2,3,4 4,5,5,5,1
0.874857 0.455807 0,1,2,3,4 4,5,2,5,4
0.874857 0.455807 0,1,2,3,4 1,2,5,8,4
0.874857 0.455807 0,1,2,3,4 4,8,5,2,1
0.874857 0.455807 0,1,2,3,4 1,5,8,5,1
0.874857 0.455807 0,1,2,3,4 1,5,8,5,1
0.874857 0.455807 0,1,2,3,4 1,2,5,8,4
0.874857 0.455807 0,1,2,3,4 4,5,2,5,4
0.874857 0.455807 0,1,2,3,4 4,8,5,2,1
0.874857 0.455807 0,1,2,3,4 4,5,5,5,1
0.874857 0.455807 0,1,2,3,4 4,5,5,5,1
0.874857 0.455807 0,1,2,3,4 4,8,5,2,1
0.874857 0.455807 0,1,2,3,4 1,5,5,5,4
0.874857 0.455807 0,1,2,3,4 1,5,5,5,4
0.874857 0.455807 0,1,2,3,4 1,2,5,8,4
0.896965 0.451999 0,2,3,4 4,6,4,2
0.896965 0.451999 0,2,3,4 4,6,4,2
0.897374 0.450664 0,2,3,4 2,6,8,4
0.897374 0.450664 0,2,3,4 2,6,8,4
0.909843 0.449124 0,3,4 4,8,4
0.890542 0.447598 0,1,2,3,4 2,4,4,6,4
0.890542 0.447598 0,1,2,3,4 2,4,4,6,4
0.890542 0.447598 0,1,2,3,4 2,4,4,6,4
0.890542 0.447598 0,1,2,3,4 2,4,6,6,2
0.890542 0.447598 0,1,2,3,4 4,6,4,4,2
0.890542 0.447598 0,1,2,3,4 2,4,4,6,4
0.890542 0.447598 0,1,2,3,4 2,4,6,6,2
0.890542 0.447598 0,1,2,3,4 2,6,6,4,2
0.890542 0.447598 0,1,2,3,4 2,6,6,4,2
0.890542 0.447598 0,1,2,3,4 2,6,6,4,2
0.890542 0.447598 0,1,2,3,4 2,4,6,6,2
0.890542 0.447598 0,1,2,3,4 4,6,4,4,2
0.890542 0.447598 0,1,2,3,4 2,4,6,6,2
0.890542 0.447598 0,1,2,3,4 2,4,6,6,2
0.890542 0.447598 0,1,2,3,4 4,6,4,4,2
0.890542 0.447598 0,1,2,3,4 2,4,4,6,4
0.890542 0.447598 0,1,2,3,4 4,6,4,4,2
0.890542 0.447598 0,1,2,3,4 2,6,6,4,2
0.890542 0.447598 0,1,2,3,4 4,6,4,4,2
0.890542 0.447598 0,1,2,3,4 2,6,6,4,2
0.905801 0.441586 0,1,3,4 2,6,8,4
0.905801 0.441586 0,1,3,4 2,6,8,4
0.905801 0.441586 0,1,3,4 4,8,6,2
0.905801 0.441586 0,1,3,4 4,8,6,2
0.893344 0.43959 0,1,2,4 4,5,5,4
0.893344 0.43959 0,1,2,4 4,5,5,4
0.893344 0.43959 0,1,2,4 1,5,8,4
0.893344 0.43959 0,1,2,4 1,5,8,4
0.893344 0.432221 0,2,3,4 4,5,5,4
0.893344 0.432221 0,2,3,4 4,5,5,4
0.893344 0.432221 0,2,3,4 4,8,5,1
0.893344 0.432221 0,2,3,4 4,8,5,1
0.886957 0.428013 0,1,2,3,4 2,3,5,8,4
0.886957 0.428013 0,1,2,3,4 4,5,3,6,4
0.886957 0.428013 0,1,2,3,4 1,3,6,8,4
0.886957 0.428013 0,1,2,3,4 1,5,8,6,2
0.886957 0.428013 0,1,2,3,4 1,3,6,8,4
0.886957 0.428013 0,1,2,3,4 4,8,6,3,1
0.886957 0.428013 0,1,2,3,4 2,6,8,5,1
0.886957 0.428013 0,1,2,3,4 2,3,5,8,4
0.886957 0.428013 0,1,2,3,4 2,6,5,5,4
0.886957 0.428013 0,1,2,3,4 4,6,6,5,1
0.886957 0.428013 0,1,2,3,4 2,6,8,5,1
0.886957 0.428013 0,1,2,3,4 1,5,6,6,4
0.886957 0.428013 0,1,2,3,4 4,6,6,5,1
0.886957 0.428013 0,1,2,3,4 2,3,5,8,4
0.886957 0.428013 0,1,2,3,4 1,3,6,8,4
0.886957 0.428013 0,1,2,3,4 4,8,6,3,1
0.886957 0.428013 0,1,2,3,4 1,5,6,6,4
0.886957 0.428013 0,1,2,3,4 4,6,3,5,4
0.886957 0.428013 0,1,2,3,4 1,5,6,6,4
0.886957 0.428013 0,1,2,3,4 2,6,5,5,4
0.886957 0.428013 0,1,2,3,4 4,5,5,6,2
0.886957 0.428013 0,1,2,3,4 4,8,5,3,2
0.886957 0.428013 0,1,2,3,4 4,6,6,5,1
0.886957 0.428013 0,1,2,3,4 1,5,8,6,2
0.886957 0.428013 0,1,2,3,4 2,6,8,5,1
0.886957 0.428013 0,1,2,3,4 2,3,5,8,4
0.886957 0.428013 0,1,2,3,4 4,5,5,6,2
0.886957 0.428013 0,1,2,3,4 4,6,6,5,1
0.886957 0.428013 0,1,2,3,4 1,3,6,8,4
0.886957 0.428013 0,1,2,3,4 4,6,3,5,4
0.886957 0.428013 0,1,2,3,4 1,3,6,8,4
0.886957 0.428013 0,1,2,3,4 1,5,8,6,2
0.886957 0.428013 0,1,2,3,4 4,8,6,3,1
0.886957 0.428013 0,1,2,3,4 2,6,5,5,4
0.886957 0.428013 0,1,2,3,4 4,5,5,6,2
0.886957 0.428013 0,1,2,3,4 4,8,5,3,2
0.886957 0.428013 0,1,2,3,4 4,5,3,6,4
0.886957 0.428013 0,1,2,3,4 1,5,6,6,4
0.886957 0.428013 0,1,2,3,4 4,5,5,6,2
0.886957 0.428013 0,1,2,3,4 4,5,5,6,2
0.886957 0.428013 0,1,2,3,4 1,5,8,6,2
0.886957 0.428013 0,1,2,3,4 4,8,5,3,2
0.886957 0.428013 0,1,2,3,4 1,5,6,6,4
0.886957 0.428013 0,1,2,3,4 4,5,3,6,4
0.886957 0.428013 0,1,2,3,4 4,6,3,5,4
0.886957 0.428013 0,1,2,3,4 4,8,5,3,2
0.886957 0.428013 0,1,2,3,4 4,8,5,3,2
